"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"000482025";"Objeto: AQUISIÇÃO DE MICROFONE DIGITAL DESTINADOS À MODERNIZAÇÃO DOS EQUIPAMENTOS DE ÁUDIO E VÍDEO DO AUDITÓRIO DA AGÊNCIA, LOCALIZADO NA CIDADES DE BRASÍLIA - DF";"";"Sem Informação";"Não se aplica";"68000";"Ministério de Portos e Aeroportos";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"30/12/2025";"02/01/2026";"30/12/2025";"30/06/2026";"27975535000134";"VIDEO MAIS COMERCIO E SERVICOS DE AUDIO E VIDEO LTDA";"160400,0000";"160400,0000";"-3";"";"";"";""
"000202025";"Objeto: CONTRATAÇÃO DA FUNDAÇÃO DE APOIO PARA A GESTÃO FINANCEIRA E ADMINISTRATIVA DO PROJETO INSTITUCIONAL PARA O DESENVOLVIMENTO EM PESQUISA E EXTENSÃO AGRÁRIA CAPIXABA COM DIRETRIZES DEFINIDAS POR PARLAMENTAR E PELO IFES, ATRAVÉS DE RECURSOS DO EDITAL 22/2024 - CHAMADA GERAL E P&D, DA EMBRAPA CAFÉ, PARA O PROJETO INTITULADO 'ABORDAGENS METABOLÔMICAS E QUIMIOMÉTRICAS PARA AUTENTICAÇÃO E CONTROLE DE QUALIDADE DE CAFÉS ARÁBICA DO NOROESTE FLUMINENSE E CAPARAÓ'";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e T";"158425";"INST.FED. ESPIRITO SANTO/CAMPUS ALEGRE";"19/12/2025";"06/01/2026";"19/12/2025";"19/12/2029";"03832178000197";"FUNDACAO DE APOIO AO DESENVOLVIMENTO DA CIENCIA E TECNOLOGIA-FACTO";"523762,0000";"523762,0000";"-3";"";"";"";""
"001362025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DOS SERVIÇOS COMUNS DE ENGENHARIA PARA PAVIMENTAÇÃO COM CAPA ASFÁLTICA EM CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) EM DIVERSOS MUNÍCIPIOS NA ÁREA DE ATUAÇÃO DO DNOCS (ALAGOAS, BAHIA, CEARÁ, MINAS GERAIS, PARAÍBA, PERNAMBUCO, PIAUÍ, RIO GRANDE DO NORTE E SERGIPE), NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"53000";"Ministério da Integração e do Desenvolvime";"22204";"Departamento Nacional de Obras Contra as Seca";"193002";"DEPARTAMENTO NACIONAL DE OBRAS CONT.AS SECAS";"31/12/2025";"05/01/2026";"31/12/2025";"30/06/2027";"73041188000190";"COMERCIAL E CONSTRUTORA FENIX LTDA";"10505000,0000";"10505000,0000";"-3";"";"";"";""
"000062025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS COMUNS DE OPERACIONALIZAÇÃO FINANCEIRA PARA TRANSFERÊNCIA DE RECURSOS DO CONTRATANTE, O MINISTÉRIO DO ESPORTE, PARA OS BENEFICIÁRIOS DO PROGRAMA BOLSA ATLETA, A SER REALIZADO DE FORMA MENSAL, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"51000";"Ministério do Esporte";"51000";"Ministério do Esporte - Unidades com víncul";"180002";"SECRETARIA EXECUTIVA";"31/12/2025";"02/01/2026";"01/01/2026";"31/12/2030";"00360305000104";"CAIXA ECONOMICA FEDERAL";"1000,0000";"1000,0000";"-3";"";"";"";""
"000022026";"Objeto: EXECUÇÃO OPERACIONAL DO GARANTIA-SAFRA, INSTITUÍDO PELA LEI Nº 10.420, DE 10 DE ABRIL DE 2002, ALTERADO PELAS LEIS Nº 10.700, 11.775 E 12.766 DE 09/07/2003, 17/09/2008 E 27/12/2012, RESPECTIVAMENTE, PELA CONTRATADA, MEDIANTE A PRESTAÇÃO DE SERVIÇOS DE ARRECADAÇÃO E GESTÃO FINANCEIRA DOS RECURSOS DO FUNDO DE GARANTIA SAFRA.";"";"Sem Informação";"Não se aplica";"49000";"Ministério do Desenvolvimento Agrário e Agr";"49000";"Ministério do Desenvolvimento Agrário e Agr";"490011";"MIN. DESENV. AGRARIO E AGRICULTURA FAMILIAR";"06/01/2026";"07/01/2026";"06/01/2026";"06/01/2027";"00360305000104";"CAIXA ECONOMICA FEDERAL";"8073304,0400";"8073304,0400";"-3";"";"";"";""
"000012026";"Objeto: PRESTAÇÃO DE SERVIÇOS COM VISTAS À EXECUÇÃO OPERACIONAL DO PROGRAMA GARANTIA SAFRA, INSTITUÍDO PELA LEI Nº 10.420, DE 10 DE ABRIL DE 2002, MEDIANTE A EXECUÇÃO, PELA CONTRATADA, DA MANUTENÇÃO OPERACIONAL DO PROGRAMA, DA LOGÍSTICA DE EMISSÃO E DISTRIBUIÇÃO DE CARTÃO MAGNÉTICO E DO PROCESSO DE PAGAMENTO AOS BENEFICIÁRIOS, SOB AS CONDIÇÕES ESPECIFICADAS NESTE CONTRATO";"";"Sem Informação";"Não se aplica";"49000";"Ministério do Desenvolvimento Agrário e Agr";"49000";"Ministério do Desenvolvimento Agrário e Agr";"490011";"MIN. DESENV. AGRARIO E AGRICULTURA FAMILIAR";"06/01/2026";"07/01/2026";"06/01/2026";"06/01/2027";"00360305000104";"CAIXA ECONOMICA FEDERAL";"7482020,0000";"7482020,0000";"-3";"";"";"";""
"006942025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS COMUNS ESPECIALIZADOS DE ASSISTÊNCIA TÉCNICA AO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO E AOS ENTES FEDERATIVOS, SEM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, PARA OPERAÇÕES APOIADAS COM RECURSOS DO FNDE, INCLUINDO A RETOMADA DAS OBRAS DE EDUCAÇÃO PARALISADAS OU INACABADAS NO ÂMBITO DO PACTO NACIONAL PELA RETOMADA DE OBRAS, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26298";"Fundo Nacional de Desenvolvimento da Educaç";"153173";"FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO";"31/12/2025";"06/01/2026";"31/12/2025";"31/12/2030";"00360305000104";"CAIXA ECONOMICA FEDERAL";"87619979,6500";"87619979,6500";"-3";"";"";"";""
"000092025";"Objeto: PRESTAÇÃO DE SERVIÇOS DE APOIO TÉCNICO-OPERACIONAL NO ÂMBITO DOS CONVÊNIOS FIRMADOS POR ESTA SUPERINTENDÊNCIA";"";"Sem Informação";"Não se aplica";"53000";"Ministério da Integração e do Desenvolvime";"53207";"Superintendência de Desenvolvimento do Centr";"533018";"SUPERINT. DO DESENVOLVIMENTO DO CENTRO-OESTE";"31/12/2025";"02/01/2026";"31/12/2025";"31/12/2027";"00360305000104";"CAIXA ECONOMICA FEDERAL";"1058648,0000";"1058648,0000";"-3";"";"";"";""
"000522025";"Objeto: AQUISIÇÃO DE REAGENTES DE GASOMETRIA, SOB FORMA DE COMODATO (COMPLEMENTO) PARA ATENDER ÀS NECESSIDADES DA SUBDIVISÃO DE ANÁLISES CLÍNICAS (SDANC) DO HOSPITAL DE AERONÁUTICA DE MANAUS (HAMN)";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120630";"GRUPAMENTO DE APOIO DE MANAUS";"11/11/2025";"12/01/2026";"11/11/2025";"11/12/2025";"04562591000141";"A.R. RODRIGUEZ & CIA LTDA";"58200,0000";"58200,0000";"900292025";"";"";"";""
"001272025";"Objeto: AQUISIÇÃO DE MATERIAIS PERMANENTES, INCLUINDO A ENTREGA, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"33000";"Ministério da Previdência Social";"37202";"Instituto Nacional do Seguro Social";"510181";"SUPERINTENDENCIA REGIONAL SUL";"24/12/2025";"06/01/2026";"24/12/2025";"24/12/2026";"02648737000140";"DISPLAY PAINEIS ELETRONICOS LTDA";"26280,0000";"26280,0000";"-3";"";"";"";""
